timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1706891831137,578,Переход на первый товар,200,OK,Thread Group 2-5,text,true,,312347,466,5,10,https://dostaevsky.ru/sets-sushi-rolls/california-roll,,467,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891830531,578,Выбор первого товара из списка,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-5,,true,,312347,466,5,10,null,,467,UTF-8,1,0,DESKTOP-59ENBAD,607,0
1706891831659,241,Удалить товар из корзины,200,OK,Thread Group 1-3,text,true,,1350,1008,5,10,https://dostaevsky.ru/basket/update-item-count,,241,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891831216,823,Вход на главную,200,OK,Thread Group 2-1,text,true,,335655,434,5,10,https://dostaevsky.ru/,,686,UTF-8,1,0,DESKTOP-59ENBAD,0,58
1706891830213,823,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,335655,434,5,10,null,,686,UTF-8,1,0,DESKTOP-59ENBAD,1004,58
1706891831374,754,Вход на главную,200,OK,Thread Group 1-1,text,true,,335556,434,5,10,https://dostaevsky.ru/,,606,UTF-8,1,0,DESKTOP-59ENBAD,0,62
1706891830768,754,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,335556,434,5,10,null,,606,UTF-8,1,0,DESKTOP-59ENBAD,606,62
1706891831675,462,Переход на второй товар,200,OK,Thread Group 2-3,text,true,,295846,461,5,10,https://dostaevsky.ru/woks/black-pepper-beef-soba,,362,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891829664,1260,Выбор второго товара из списка,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 2-3,,true,,631246,964,5,10,null,,1043,UTF-8,1,0,DESKTOP-59ENBAD,1212,0
1706891825411,3283,Use Case № 2,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 2-3,,true,,1597816,2030,5,10,null,,2712,UTF-8,1,0,DESKTOP-59ENBAD,3442,58
1706891832137,0,Debug Sampler,200,OK,Thread Group 2-3,text,true,,698,0,5,10,null,,0,windows-1251,1,0,DESKTOP-59ENBAD,0,0
1706891831957,239,Получить информацию с корзины,200,OK,Thread Group 1-4,text,true,,1664,882,5,10,https://dostaevsky.ru/basket/info,,239,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891830265,715,Добавить в корзину,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,4655,1647,5,10,null,,715,UTF-8,1,0,DESKTOP-59ENBAD,1216,0
1706891831942,374,Добавить товар в коризну,200,OK,Thread Group 1-5,text,true,,3082,765,5,10,https://dostaevsky.ru/ajax/basket/add_to_basket?item_id=13876,,374,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891832509,199,Полуить информацию с корзины,200,OK,Thread Group 1-3,text,true,,1340,771,5,10,https://dostaevsky.ru/basket/info,,199,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891831045,440,Убрать из корзины,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,2690,1779,5,10,null,,440,UTF-8,1,0,DESKTOP-59ENBAD,1223,0
1706891832708,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,541,0,5,10,null,,0,windows-1251,1,0,DESKTOP-59ENBAD,0,0
1706891832178,843,Вход на главную,200,OK,Thread Group 2-2,text,true,,336122,434,5,10,https://dostaevsky.ru/,,706,UTF-8,1,0,DESKTOP-59ENBAD,0,61
1706891831165,843,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-2,,true,,336122,434,5,10,null,,706,UTF-8,1,0,DESKTOP-59ENBAD,1013,61
1706891832797,269,Удалить товар из корзины,200,OK,Thread Group 1-4,text,true,,1350,1008,5,10,https://dostaevsky.ru/basket/update-item-count,,269,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891832319,845,Результаты поиска,200,OK,Thread Group 2-5,text,true,,331513,485,5,10,https://dostaevsky.ru/search-results?query=%D0%A0%D0%BE%D0%BB%D0%BB%D1%8B,,727,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891832925,251,Получить информацию с корзины,200,OK,Thread Group 1-5,text,true,,1690,882,5,10,https://dostaevsky.ru/basket/info,,251,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891831337,625,Добавить в корзину,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,4772,1647,5,10,null,,625,UTF-8,1,0,DESKTOP-59ENBAD,1215,0
1706891832653,644,Результаты поиска,200,OK,Thread Group 2-1,text,true,,303721,479,5,10,https://dostaevsky.ru/search-results?query=%D0%A1%D1%83%D1%88%D0%B8,,538,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891832040,644,Ввод поискового запроса,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,303721,479,5,10,null,,538,UTF-8,1,0,DESKTOP-59ENBAD,615,0
1706891832733,802,Переход на вкладку,200,OK,Thread Group 1-1,text,true,,313871,439,5,10,https://dostaevsky.ru/bowls,,683,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891832128,802,Переход на вкладку категории,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,313871,439,5,10,null,,683,UTF-8,1,0,DESKTOP-59ENBAD,607,0
1706891833148,745,Вход на главную,200,OK,Thread Group 2-3,text,true,,336180,434,5,10,https://dostaevsky.ru/,,600,UTF-8,1,0,DESKTOP-59ENBAD,0,65
1706891832137,745,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-3,,true,,336180,434,5,10,null,,600,UTF-8,1,0,DESKTOP-59ENBAD,1011,65
1706891833671,229,Полуить информацию с корзины,200,OK,Thread Group 1-4,text,true,,1340,771,5,10,https://dostaevsky.ru/basket/info,,229,UTF-8,1,0,DESKTOP-59ENBAD,0,0
